18	I was going to fire Comey.	2168	James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION
33	And in fact, when I decided to just do it I said to myself, I said, you know, this Russia thing with Trump and Russia is a madeup story.	2168	James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION
33	And in fact, when I decided to just do it I said to myself, I said, you know, this Russia thing with Trump and Russia is a madeup story.	2390	I never said Russia did not meddle in the election.
33	And in fact, when I decided to just do it I said to myself, I said, you know, this Russia thing with Trump and Russia is a madeup story.	3314	This Russia thing with Trump and Russia is a madeup story. It's an excuse by the Democrats for having lost an election that they should've won.
34	It's an excuse by the Democrats having lost an election that they should have won.	3314	This Russia thing with Trump and Russia is a madeup story. It's an excuse by the Democrats for having lost an election that they should've won.
39	This was an excuse for having lost an election.	3314	This Russia thing with Trump and Russia is a madeup story. It's an excuse by the Democrats for having lost an election that they should've won.
89	But he's... he's given sworn testimony that there is an ongoing investigation into the Trump campaign, and possible collusion with the Russian government.	2168	James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION
115	What you said a moment ago about supporting the idea of investigation a lot of people would find it hard to believe that the man who just said that tweeted very recently it's a total hoax.	2390	I never said Russia did not meddle in the election.
129	They have other investigations.	12613	Says state Rep. Sandy Pasch "did nothing to stop" people from scamming the Wisconsin Shares childcare subsidy program and voted against funding for fraud investigators.
136	Well, there's already, already intelligence from virtually every intelligence agency that yes, that happened.	2557	Said Dianne Feinstein said "there is no collusion" between the Trump campaign and Russia.
136	Well, there's already, already intelligence from virtually every intelligence agency that yes, that happened.	3312	Says James Clapper "and virtually everyone else" said "there is no collusion" in the Russia investigation findings.
142	The, the unmasking, and the spying, and to me, that's the big story right now.	2042	Says James Clapper said "that the FBI was spying on (Trump's)campaign."
184	No, no but Obama perhaps knew because he had clearance from the Obama administration.	3353	General Flynn got his clearance from the Obama administration.
185	And his clearance... and, and this is something they never want to report.	3353	General Flynn got his clearance from the Obama administration.
186	He had clearance from the Obama administration, the highest clearance you can have.	3353	General Flynn got his clearance from the Obama administration.
194	in the country, a tremendous, highlyrated law firm that I have nothing to do with Russia.	2390	I never said Russia did not meddle in the election.
240	I have to speak with Putin also.	4553	On whether hes had a relationship with Vladimir Putin.