2	There aren't too many people outside protesting his speech at the Phoenix Convention Center.	2976	There aren't too many people outside protesting his speech at the Phoenix Convention Center.
88	Says President Donald Trump "cut funding from the Justice Department to investigate these domestic terrorist groups, these white supremacist groups."	768	Says President Donald Trump "cut funding from the Justice Department to investigate these domestic terrorist groups, these white supremacist groups."
88	The Trump Administration cut funding allocated to the Department of Homeland Security to combat white nationalism.	288	The Trump Administration cut funding allocated to the Department of Homeland Security to combat white nationalism.
88	Says President Donald Trump hasnt condemned David Duke and Richard Spencer.	231	Says President Donald Trump hasnt condemned David Duke and Richard Spencer.
100	Says President Donald Trump hasnt condemned David Duke and Richard Spencer.	231	Says President Donald Trump hasnt condemned David Duke and Richard Spencer.
103	Says President Donald Trump hasnt condemned David Duke and Richard Spencer.	231	Says President Donald Trump hasnt condemned David Duke and Richard Spencer.
149	CNN to permanently close its doors as ratings plunge 30 percent.	2047	CNN to permanently close its doors as ratings plunge 30 percent.
149	CNNs ratings are "way down."	3145	CNNs ratings are "way down."
149	Says CNNs Anderson Cooper stood in a ditch during Hurricane Florence to exaggerate water levels.	1600	Says CNNs Anderson Cooper stood in a ditch during Hurricane Florence to exaggerate water levels.
177	There aren't too many people outside protesting his speech at the Phoenix Convention Center.	2976	There aren't too many people outside protesting his speech at the Phoenix Convention Center.
210	Trump refuses to denounce the KKK.	5298	Trump refuses to denounce the KKK.
212	President Obama has "stopped using the phrase 'war on terror.' "	13260	President Obama has "stopped using the phrase 'war on terror.' "
212	Says President Barack Obama "will not utter the words radical Islamic terrorism and as matter of policy, nobody in the administration will say the words radical Islamic terrorism."	5671	Says President Barack Obama "will not utter the words radical Islamic terrorism and as matter of policy, nobody in the administration will say the words radical Islamic terrorism."
212	In President Barack Obamas 2015 State of the Union address, "the words alQaida were never used, the first time those words have not been used in a State of the Union address since February 2001."	6812	In President Barack Obamas 2015 State of the Union address, "the words alQaida were never used, the first time those words have not been used in a State of the Union address since February 2001."
216	Says "the New York Times can write a story that they know is false" yet "they can't basically be sued."	5342	Says "the New York Times can write a story that they know is false" yet "they can't basically be sued."
216	Twitter, Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!	4000	Twitter, Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!
216	Says the media distortedwhat happened with a baby at his rally.	4511	Says the media distortedwhat happened with a baby at his rally.
216	Someone can write an article or book, totally make up stories and form a picture of a person that is literally the exact opposite of the fact, and get away with it without retribution or cost. Dont know why Washington politicians dont change libel laws?	1662	Someone can write an article or book, totally make up stories and form a picture of a person that is literally the exact opposite of the fact, and get away with it without retribution or cost. Dont know why Washington politicians dont change libel laws?
259	First, Donald Trump said wages are too high, and both Donald Trump and Mike Pence think we ought to eliminate the federal minimum wage.	4215	First, Donald Trump said wages are too high, and both Donald Trump and Mike Pence think we ought to eliminate the federal minimum wage.
259	Wages "havent gone up for a long time."	2994	Wages "havent gone up for a long time."
259	When I was campaigning, I was talking about 18 and 20 years (when) wages effectively went down. Now, for the first time in a long time, they're starting to go up for people.	2328	When I was campaigning, I was talking about 18 and 20 years (when) wages effectively went down. Now, for the first time in a long time, they're starting to go up for people.
260	Wages "havent gone up for a long time."	2994	Wages "havent gone up for a long time."
260	Most folks wages havent gone up in over a decade.	8218	Most folks wages havent gone up in over a decade.
261	Wages "havent gone up for a long time."	2994	Wages "havent gone up for a long time."
325	The @nytimes sent a letter to their subscribers apologizing for their BAD coverage of me.	3943	The @nytimes sent a letter to their subscribers apologizing for their BAD coverage of me.
386	The majority of the people that are coming to Arizona and trespassing are now becoming drug mules.	14830	The majority of the people that are coming to Arizona and trespassing are now becoming drug mules.
386	A couple of hundred American cities are infested by members of the Mexican cartels.	12894	A couple of hundred American cities are infested by members of the Mexican cartels.
387	The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!	3414	The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!
387	We're pretty much at the 50 percent mark on deportations of MS13 gang members.	3150	We're pretty much at the 50 percent mark on deportations of MS13 gang members.
387	Says of MS13 gang members, "We are getting them out of our country by the thousands."	2073	Says of MS13 gang members, "We are getting them out of our country by the thousands."
387	I have watched ICE liberate towns from the grasp of MS13.	1885	I have watched ICE liberate towns from the grasp of MS13.
388	I have watched ICE liberate towns from the grasp of MS13.	1885	I have watched ICE liberate towns from the grasp of MS13.
390	I have watched ICE liberate towns from the grasp of MS13.	1885	I have watched ICE liberate towns from the grasp of MS13.
395	Says Donald Trump said, "Immigrants arent people, theyre animals."	395	Says Donald Trump said, "Immigrants arent people, theyre animals."
397	We're pretty much at the 50 percent mark on deportations of MS13 gang members.	3150	We're pretty much at the 50 percent mark on deportations of MS13 gang members.
398	I have watched ICE liberate towns from the grasp of MS13.	1885	I have watched ICE liberate towns from the grasp of MS13.
398	We're pretty much at the 50 percent mark on deportations of MS13 gang members.	3150	We're pretty much at the 50 percent mark on deportations of MS13 gang members.
403	Were the only nation in the world that does not use the military to secure our border.	6344	Were the only nation in the world that does not use the military to secure our border.
403	Says the United States has "treaties with apparently 69 countries where we are obligated to defend their borders. And these were treaties that were executive treaties, not authorized by Congress."	4854	Says the United States has "treaties with apparently 69 countries where we are obligated to defend their borders. And these were treaties that were executive treaties, not authorized by Congress."
404	Were  getting into the pool of the 100 million people that are not working. That pool is now coming back.	2619	Were  getting into the pool of the 100 million people that are not working. That pool is now coming back.
406	Apple has just announced it plans to invest a total of $350 billion in America, and hire another 20,000 workers.	2460	Apple has just announced it plans to invest a total of $350 billion in America, and hire another 20,000 workers.
406	Says iPads and iPhones "are built in the United States of America."	13448	Says iPads and iPhones "are built in the United States of America."
406	Say Apples Tim Cook "will not do business with Indiana."	6558	Say Apples Tim Cook "will not do business with Indiana."
408	Says most illegal immigrants draw "welfare benefits, theyre sending their kids to school, theyre using the public services."	4240	Says most illegal immigrants draw "welfare benefits, theyre sending their kids to school, theyre using the public services."
408	We have over 700,000 illegal immigrants in the state. They're costing us billions of dollars and they're taking legal residents' jobs.	14575	We have over 700,000 illegal immigrants in the state. They're costing us billions of dollars and they're taking legal residents' jobs.
408	We could cut unemployment in half simply by reclaiming the jobs taken by illegal workers.	14589	We could cut unemployment in half simply by reclaiming the jobs taken by illegal workers.
424	The border is down 78 percent. Under past administrations, the border didnt go down  it went up.	3040	The border is down 78 percent. Under past administrations, the border didnt go down  it went up.
424	We stopped traffic coming through  78 percent.	2949	We stopped traffic coming through  78 percent.
424	There are about 350,000 people who succeed in crossing our borders illegally each year.	4672	There are about 350,000 people who succeed in crossing our borders illegally each year.
440	The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!	3414	The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!
441	When Donald Trump spoke in Phoenix, he looked the audience in the eye and he said no, we're building a wall and we're deporting everybody. He said, quote, they will all be gone. They will all be gone. This is one of the ones where you can go to the tape on it and see what Donald Trump has said.	4209	When Donald Trump spoke in Phoenix, he looked the audience in the eye and he said no, we're building a wall and we're deporting everybody. He said, quote, they will all be gone. They will all be gone. This is one of the ones where you can go to the tape on it and see what Donald Trump has said.
441	The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!	3414	The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!
441	We're pretty much at the 50 percent mark on deportations of MS13 gang members.	3150	We're pretty much at the 50 percent mark on deportations of MS13 gang members.
442	Trumps DHS secretary confirms they are preparing to arrest sanctuary city leaders.	1965	Trumps DHS secretary confirms they are preparing to arrest sanctuary city leaders.
443	Weve started building the wall.	2230	Weve started building the wall.
443	Says Will Hurd said a borderlong U.S.Mexico wall "absolutely makes sense."	4175	Says Will Hurd said a borderlong U.S.Mexico wall "absolutely makes sense."
443	Weve already started (the border wall). We started it in San Diego.	1924	Weve already started (the border wall). We started it in San Diego.
443	100% of heroinfentanyl epidemic is because we don't have a WALL.	2442	100% of heroinfentanyl epidemic is because we don't have a WALL.
467	The bulk of the problem with the opioid epidemic is the fentanyl and all the synthetic drugs coming across the southern border.	1988	The bulk of the problem with the opioid epidemic is the fentanyl and all the synthetic drugs coming across the southern border.
467	Heroin .. pours across our southern borders.	4101	Heroin .. pours across our southern borders.
467	The facts are, the majority of opioids and all kinds of other things that are connected to the opioids are coming through the point of entry.	1133	The facts are, the majority of opioids and all kinds of other things that are connected to the opioids are coming through the point of entry.
467	Heroin comes in the United States "from the southern border."	4336	Heroin comes in the United States "from the southern border."
467	100% of heroinfentanyl epidemic is because we don't have a WALL.	2442	100% of heroinfentanyl epidemic is because we don't have a WALL.
467	The Coast Guard confiscated 200 tons of contraband, heroin, and so forth. At the border they collected 20 tons.	2214	The Coast Guard confiscated 200 tons of contraband, heroin, and so forth. At the border they collected 20 tons.
509	Obamacare premiums nationwide have increased by double and triple digits.	3620	Obamacare premiums nationwide have increased by double and triple digits.
509	Obamacare is "hurting people right now" with premium increases of up to 116 percent.	3718	Obamacare is "hurting people right now" with premium increases of up to 116 percent.
509	Because of Obamacare "peoples premiums ...are going up 35, 45, 55 percent."	5817	Because of Obamacare "peoples premiums ...are going up 35, 45, 55 percent."
531	Bernie Sanders admits he is a Democratic Socialist.  Nazis were Democratic Socialists.	5849	Bernie Sanders admits he is a Democratic Socialist.  Nazis were Democratic Socialists.
531	The number of people who "believeinsocialism ...is increasing."	6069	The number of people who "believeinsocialism ...is increasing."
531	Says Barack Obama is a socialist.	10963	Says Barack Obama is a socialist.
531	Says "Barack Obama and his team" are "socialists in every respect of the word."	10849	Says "Barack Obama and his team" are "socialists in every respect of the word."
531	Obama would "experiment with socialism."	15864	Obama would "experiment with socialism."
531	Says President Barack Obama "is a socialist."	11834	Says President Barack Obama "is a socialist."
531	Says Florida U.S. Reps. Corrine Brown, Alcee Hastings and Frederica Wilson are Socialists.	12484	Says Florida U.S. Reps. Corrine Brown, Alcee Hastings and Frederica Wilson are Socialists.
531	Voting for "any Democrat" gets you "socialism ... undefended open borders ... immediate tax increases ... 100 percentgovernmentrun health care ..."	1412	Voting for "any Democrat" gets you "socialism ... undefended open borders ... immediate tax increases ... 100 percentgovernmentrun health care ..."
533	Says Washingtons Kim Schrier has a plan to eliminate employerprovided health coverage, double income taxes and put your care "in the hands of government bureaucrats."	1486	Says Washingtons Kim Schrier has a plan to eliminate employerprovided health coverage, double income taxes and put your care "in the hands of government bureaucrats."
533	Says Hillary Clinton "wants to let people just pour in. You could have 650 million people pour in and we do nothing about it. Think of it. Thats what could happen. You triple the size of our country in one week."	4019	Says Hillary Clinton "wants to let people just pour in. You could have 650 million people pour in and we do nothing about it. Think of it. Thats what could happen. You triple the size of our country in one week."
533	Voting for "any Democrat" gets you "socialism ... undefended open borders ... immediate tax increases ... 100 percentgovernmentrun health care ..."	1412	Voting for "any Democrat" gets you "socialism ... undefended open borders ... immediate tax increases ... 100 percentgovernmentrun health care ..."
533	Says Hillary Clinton's "plan is going to raise taxes and even double your taxes."	4096	Says Hillary Clinton's "plan is going to raise taxes and even double your taxes."
535	One thing that is much more unpopular than the Affordable Care Act is repealing the Affordable Care Act.	7966	One thing that is much more unpopular than the Affordable Care Act is repealing the Affordable Care Act.
554	Says U.S. House candidate Carlos Curbelo "opposes the repeal of Obamacare."	7512	Says U.S. House candidate Carlos Curbelo "opposes the repeal of Obamacare."
554	We essentially repealed Obamacare because we got rid of the individual mandate... and that was a primary source of funding of Obamacare.	2576	We essentially repealed Obamacare because we got rid of the individual mandate... and that was a primary source of funding of Obamacare.
554	John Adcock and Republicans plan for health care "would get rid of coverage altogether for thousands of families and raise premiums on the rest of us."	1426	John Adcock and Republicans plan for health care "would get rid of coverage altogether for thousands of families and raise premiums on the rest of us."
583	Obamacare is "hurting people right now" with premium increases of up to 116 percent.	3718	Obamacare is "hurting people right now" with premium increases of up to 116 percent.
583	Obamacare premiums nationwide have increased by double and triple digits.	3620	Obamacare premiums nationwide have increased by double and triple digits.
583	Says health insurance premiums will rise under Obamacare.	9102	Says health insurance premiums will rise under Obamacare.
583	Medicare monthly premiums will go up to $104.20 in 2012 and $247.00 in 2014 due to "provisions incorporated in the Obamacare legislation, purposely delayed so as not to 'confuse' the 2012 reelection campaigns."	12186	Medicare monthly premiums will go up to $104.20 in 2012 and $247.00 in 2014 due to "provisions incorporated in the Obamacare legislation, purposely delayed so as not to 'confuse' the 2012 reelection campaigns."
583	Obamacare raised premiums by 100 percent and after that 91 percent of the people were covered, but were all paying 100 percent more.	1387	Obamacare raised premiums by 100 percent and after that 91 percent of the people were covered, but were all paying 100 percent more.
600	Rare is the president "who's passed more legislation, who's done more things than what we've done, between the executive orders and the jobkilling regulations that have been terminated."	3217	Rare is the president "who's passed more legislation, who's done more things than what we've done, between the executive orders and the jobkilling regulations that have been terminated."
600	President Trump has signed more bills into law "than any president previously before at this stage in the game."	3165	President Trump has signed more bills into law "than any president previously before at this stage in the game."
600	We have signed more legislation than anybody. We broke the record of Harry Truman.	2561	We have signed more legislation than anybody. We broke the record of Harry Truman.
600	President Trump has passed more legislation in his first 100 days than any president since Harry Truman.	3360	President Trump has passed more legislation in his first 100 days than any president since Harry Truman.
600	Weve signed more bills  and Im talking about through the legislature  than any president ever.	3089	Weve signed more bills  and Im talking about through the legislature  than any president ever.
600	Trump has "worked with Congress to pass more legislation in his first 100 days than any president since Truman."	3376	Trump has "worked with Congress to pass more legislation in his first 100 days than any president since Truman."
604	We've achieved a historic increase in defense spending to get our troops the support they so richly deserve.	3061	We've achieved a historic increase in defense spending to get our troops the support they so richly deserve.
644	The TransPacific trade deal could cost America 448,000 more jobs.	5210	The TransPacific trade deal could cost America 448,000 more jobs.
644	America has lost nearlyone third of its manufacturing jobs since 1997, following the enactment of disastrous trade deals supported by Bill and Hillary Clinton.	4634	America has lost nearlyone third of its manufacturing jobs since 1997, following the enactment of disastrous trade deals supported by Bill and Hillary Clinton.
644	Weve lost 70,000 factories since China joined the World Trade Organization.	3409	Weve lost 70,000 factories since China joined the World Trade Organization.
644	NAFTA, signed by Bill Clinton, has been a disaster for Pennsylvania.	4450	NAFTA, signed by Bill Clinton, has been a disaster for Pennsylvania.
667	President Trump has signed more bills into law "than any president previously before at this stage in the game."	3165	President Trump has signed more bills into law "than any president previously before at this stage in the game."
667	President Trump has passed more legislation in his first 100 days than any president since Harry Truman.	3360	President Trump has passed more legislation in his first 100 days than any president since Harry Truman.
667	No administration has accomplished more in the first 90 days.	3392	No administration has accomplished more in the first 90 days.
668	Weve signed more bills  and Im talking about through the legislature  than any president ever.	3089	Weve signed more bills  and Im talking about through the legislature  than any president ever.
668	President Trump has signed more bills into law "than any president previously before at this stage in the game."	3165	President Trump has signed more bills into law "than any president previously before at this stage in the game."
668	Trump has "worked with Congress to pass more legislation in his first 100 days than any president since Truman."	3376	Trump has "worked with Congress to pass more legislation in his first 100 days than any president since Truman."
668	President Trump has passed more legislation in his first 100 days than any president since Harry Truman.	3360	President Trump has passed more legislation in his first 100 days than any president since Harry Truman.
670	For the first time in the modern political era, we have confirmed a new justice in the first 100 days.	3362	For the first time in the modern political era, we have confirmed a new justice in the first 100 days.
671	Rare is the president "who's passed more legislation, who's done more things than what we've done, between the executive orders and the jobkilling regulations that have been terminated."	3217	Rare is the president "who's passed more legislation, who's done more things than what we've done, between the executive orders and the jobkilling regulations that have been terminated."
672	Obama, Biden and their liberal allies oppose clean coal.	15941	Obama, Biden and their liberal allies oppose clean coal.
672	The presidents own advisers have said theres a war on coal.	8848	The presidents own advisers have said theres a war on coal.
674	West Virginia added the highest percentage of new construction jobs in 2017 in the United States, at 14.4%. This amounted to 4,300 additional jobs! In fact, #WV was the only state with doubledigit growth!	1324	West Virginia added the highest percentage of new construction jobs in 2017 in the United States, at 14.4%. This amounted to 4,300 additional jobs! In fact, #WV was the only state with doubledigit growth!
674	A few months ago, it hit where West Virginia is, on a per capita basis, one of the most successful (gross domestic product) states in our union.	1673	A few months ago, it hit where West Virginia is, on a per capita basis, one of the most successful (gross domestic product) states in our union.
674	Last year we had the eighth fastestgrowing economy in the country in West Virginia.	1232	Last year we had the eighth fastestgrowing economy in the country in West Virginia.
698	Says Hillary Clinton "has been a champion of globalist trade agreements. ... Worst of all, they are now pushing the disastrous 5,000page Obamatrade  the TransPacific Partnership agreement."	4676	Says Hillary Clinton "has been a champion of globalist trade agreements. ... Worst of all, they are now pushing the disastrous 5,000page Obamatrade  the TransPacific Partnership agreement."
698	The TransPacific trade deal could cost America 448,000 more jobs.	5210	The TransPacific trade deal could cost America 448,000 more jobs.
698	If you look at any real analysis, the TransPacific Partnership is "going to generate betterpaying jobs that are more stable."	4233	If you look at any real analysis, the TransPacific Partnership is "going to generate betterpaying jobs that are more stable."
713	A study by the National Economics Research Association showed that the (Paris climate) deal could cost 2.7 million lost jobs in the U.S. by 2025 should our country adhere to the commitments made by the Obama Administration.	3186	A study by the National Economics Research Association showed that the (Paris climate) deal could cost 2.7 million lost jobs in the U.S. by 2025 should our country adhere to the commitments made by the Obama Administration.
720	Kanye (West) looks and he sees black unemployment at the lowest its been in the history of our country. He sees Hispanic unemployment at the lowest its been in the history of our country. He sees (womens unemployment) the lowest its been in now almost 19 years.	2141	Kanye (West) looks and he sees black unemployment at the lowest its been in the history of our country. He sees Hispanic unemployment at the lowest its been in the history of our country. He sees (womens unemployment) the lowest its been in now almost 19 years.
721	After years of wage stagnation, we are finally seeing rising wages.	2469	After years of wage stagnation, we are finally seeing rising wages.
721	Between the first and second quarters of 2018  after the tax cuts were enacted  real wages fell by 1.8 percent.	1782	Between the first and second quarters of 2018  after the tax cuts were enacted  real wages fell by 1.8 percent.
721	When I was campaigning, I was talking about 18 and 20 years (when) wages effectively went down. Now, for the first time in a long time, they're starting to go up for people.	2328	When I was campaigning, I was talking about 18 and 20 years (when) wages effectively went down. Now, for the first time in a long time, they're starting to go up for people.
721	Wages "havent gone up for a long time."	2994	Wages "havent gone up for a long time."
722	Consumer confidence, business confidence, and manufacturing confidence are the highest they have been in many decades.	2447	Consumer confidence, business confidence, and manufacturing confidence are the highest they have been in many decades.
722	The stock market has hit record numbers, as you know. And there has been a tremendous surge of optimism in the business world.	3661	The stock market has hit record numbers, as you know. And there has been a tremendous surge of optimism in the business world.
726	Says Donald Trump's position is"to roll back all" of the financial regulations passed after the financial crisis.	4741	Says Donald Trump's position is"to roll back all" of the financial regulations passed after the financial crisis.
726	We've repealed regulations for the first time in 20 years using the Congressional Review Act  three regulations that were going to cost the economy hundreds of millions of dollars and tens of thousands of jobs.	3604	We've repealed regulations for the first time in 20 years using the Congressional Review Act  three regulations that were going to cost the economy hundreds of millions of dollars and tens of thousands of jobs.
728	Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.	1903	Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.
744	Americas tax code hasnt been updated in 30 years.	3940	Americas tax code hasnt been updated in 30 years.
749	We've cut taxes 50 times and look what has happened to our revenues. They've grown.	5466	We've cut taxes 50 times and look what has happened to our revenues. They've grown.
749	Americans received the biggest tax cut in history last year.	2000	Americans received the biggest tax cut in history last year.
749	Says the GOP plan he supports is"the biggest tax cut in U.S. history."	2760	Says the GOP plan he supports is"the biggest tax cut in U.S. history."
749	We enacted the biggest tax cuts and reforms in American history.	2472	We enacted the biggest tax cuts and reforms in American history.
754	There are so many loopholes ... our businesses pay effectively one of the lowest tax rates in the world.	15948	There are so many loopholes ... our businesses pay effectively one of the lowest tax rates in the world.
754	The United States currently has the highest corporate tax rate in the world.	9422	The United States currently has the highest corporate tax rate in the world.
754	We've got the highest corporate tax rate in the world.	10519	We've got the highest corporate tax rate in the world.
754	We have the highest tax rate anywhere in the world.	5837	We have the highest tax rate anywhere in the world.
754	Corporate taxes will soon be the highest in the industrialized world.	13312	Corporate taxes will soon be the highest in the industrialized world.
754	America is one of the highesttaxed nations in the world.	4628	America is one of the highesttaxed nations in the world.
754	Americas federal business tax rate is the highest "in the world."	3869	Americas federal business tax rate is the highest "in the world."
754	We have the highest corporate income tax in the world right now.	13137	We have the highest corporate income tax in the world right now.
754	The United States has "the highest corporate tax rate in the free world."	7335	The United States has "the highest corporate tax rate in the free world."
754	Were the most highly taxed nation in the world.	6024	Were the most highly taxed nation in the world.
770	We have become an energy exporter for the first time ever just recently.	2974	We have become an energy exporter for the first time ever just recently.
770	We are now, very proudly, an exporter of energy to the world.	2465	We are now, very proudly, an exporter of energy to the world.
770	The United States is "very energy independent."	160	The United States is "very energy independent."
